#TYPE System.Management.Automation.PSCustomObject
"Name","Quality","Rarity","Slot","Hero","Availibility","Descriptor","Link"
"Belt of Rising Glory","Standard"," Mythical"," Belt"," Magnus"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998837308"
"Belt of Rising Glory","Standard"," Mythical"," Belt"," Magnus"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998837307"
"Prize of the Saltworn Mariner","Standard"," Immortal"," Shoulder"," Kunkka"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11314282052"
"Prize of the Saltworn Mariner","Standard"," Immortal"," Shoulder"," Kunkka"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998828173"
"Legs of the Seaborne Reprisal","Standard"," Mythical"," Legs"," Kunkka"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998828172"
"Legs of the Seaborne Reprisal","Standard"," Mythical"," Legs"," Kunkka"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998828171"
"Folds of Seaborne Reprisal","Standard"," Mythical"," Back"," Kunkka"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998828170"
"Folds of Seaborne Reprisal","Standard"," Mythical"," Back"," Kunkka"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998828169"
"Claw of Seaborne Reprisal","Standard"," Mythical"," Gloves"," Kunkka"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998828168"
"Claw of Seaborne Reprisal","Standard"," Mythical"," Gloves"," Kunkka"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998828167"
"mareen Sacrifice Loading Screen","Standard"," Mythical"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998819093"
"mareen Sacrifice Loading Screen","Standard"," Mythical"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998819092"
"hield of the Samareen Sacrifice","Standard"," Mythical"," Shoulder"," Huskar"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998819091"
"hield of the Samareen Sacrifice","Standard"," Mythical"," Shoulder"," Huskar"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998819090"
"Trident of the Samareen Sacrifice","Standard"," Mythical"," Weapon"," Huskar"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998819089"
"Trident of the Samareen Sacrifice","Standard"," Mythical"," Weapon"," Huskar"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11039282231"
"Rumrunner's Carronade Loading Screen","Standard"," Mythical"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998802168"
"Rumrunner's Carronade Loading Screen","Standard"," Mythical"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998802167"
"Bandana of the Rumrunner's Carronade","Standard"," Mythical"," Head"," Brewmaster"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998802166"
"Bandana of the Rumrunner's Carronade","Standard"," Mythical"," Head"," Brewmaster"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998802165"
"Culverin of the Rumrunner's Carronade","Standard"," Mythical"," Weapon"," Brewmaster"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998802164"
"Culverin of the Rumrunner's Carronade","Standard"," Mythical"," Weapon"," Brewmaster"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998719496"
"Bracers of the Rumrunner's Carronade","Standard"," Mythical"," Arms"," Brewmaster"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998802163"
"Bracers of the Rumrunner's Carronade","Standard"," Mythical"," Arms"," Brewmaster"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998606568"
"cred Bones Chopper","Standard"," Common"," Off-Hand"," Huskar"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998304215"
"cred Bones Chopper","Standard"," Common"," Off-Hand"," Huskar"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998113448"
"Great Pipe of the Father Spirits","Standard"," Rare"," Weapon"," Dazzle"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10997970602"
"Great Pipe of the Father Spirits","Standard"," Rare"," Weapon"," Dazzle"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10997828406"
"Eye of the Progenitor's Gaze","Standard"," Mythical"," Weapon"," Chen"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10997828405"
"Eye of the Progenitor's Gaze","Standard"," Mythical"," Weapon"," Chen"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10997828404"
"Drape of the Progenitor's Gaze","Standard"," Mythical"," Misc"," Chen"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10997828403"
